threshold,precision,recall,f1,false_positive_count,false_negative_count,true_positive_count,true_negative_count,flagged_rate_percentage
0.2,0.09593215581707733,0.9637462235649547,0.17449493107723726,45094,180,4785,11444,81.10010893777539
0.25,0.10474227738019748,0.9315206445115811,0.18831049856476864,39531,340,4625,17007,71.7948717948718
0.3,0.11547796132466923,0.8912386706948641,0.20446354311061823,33894,540,4425,22644,62.30427784010536
0.35,0.12760535177937563,0.8471299093655589,0.22180034804619522,28755,759,4206,27783,53.59250768255207
0.4,0.14173735638354987,0.797583081570997,0.24070021881838075,23979,1005,3960,32559,45.42705233891029
0.45,0.15653028102844452,0.7381671701913394,0.25828958032347865,19749,1300,3665,36789,38.06968765751264
0.5,0.1725656837850443,0.6706948640483383,0.27450333855411757,15967,1635,3330,40571,31.3757052501504
0.6,0.21142013290671918,0.5190332326283988,0.30045470444211264,9612,2388,2577,46926,19.81854543680796
